group,subgroup,shap value,cluster,type
Mean Max Temp,class 1,0.943781257,non,chkk
Mean Min Temp,class 1,0.17860289899999998,all,zika
Mean Max Temp,class 0,0.989434293,non,chkk
Mean Min Temp,class 0,0.5169729160000001,non,dengue
Population without health services,class 0,0.41139399299999996,non,zika
Houses without electricity,class 0,0.449139171,all,dengue
Population without health services,class 0,0.8824580209999999,all,zika
Houses without sewage,class 1,0.410449454,all,chkk
Mean Max Temp,class 1,0.180292343,all,zika
Houses without toilet,class 1,1.188484099,non,zika
Mean Max Temp,class 0,0.612155727,all,chkk
Houses without electricity,class 1,0.6036983429999999,non,zika
Population without health services,class 0,0.41397789700000004,non,chkk
Houses with floor of dirt,class 1,0.12993754300000002,non,zika
Houses without electricity,class 1,0.38376922700000005,all,dengue
Houses without electricity,class 0,0.001,non,chkk
Houses without sewage,class 1,0.35487859899999996,all,zika
Houses without water pipelines,class 1,0.4,all,dengue
Illiteracy,class 1,0.802778227,all,chkk
Max mm/day,class 1,0.295340411,all,chkk
Max mm/day,class 1,0.296732015,all,dengue
Population without health services,class 1,0.337077642,all,dengue
Houses without toilet,class 0,0.431305444,all,dengue
Mean Max Temp,class 0,0.27911157600000003,non,dengue
Population without health services,class 0,0.32661028,all,dengue
Altitude,class 0,0.001,non,zika
Mean mm/day,class 0,0.332544367,all,zika
Houses without toilet,class 1,1.188048271,non,zika
Mean Min Temp,class 1,0.45088186799999996,all,chkk
Mean Max Temp,class 0,0.2059845,all,zika
Mean Max Temp,class 1,0.24086985600000002,all,zika
Mean mm/day,class 1,0.44695757700000005,non,zika
Mean Temp,class 1,0.043189139,all,dengue
Population without health services,class 0,0.82755562,all,zika
Houses with floor of dirt,class 0,0.49024103,all,chkk
Population without health services,class 1,1.167246,all,chkk
Houses without toilet,class 0,0.444236639,all,dengue
Houses without toilet,class 0,0.433700976,all,dengue
Houses without toilet,class 0,0.405254813,non,dengue
Houses without electricity,class 1,0.068773979,all,zika
Houses without toilet,class 0,1.136196431,non,zika
Max mm/day,class 1,0.16862598899999998,all,zika
Mean Min Temp,class 1,0.02211018,non,zika
Illiteracy,class 0,0.27510709699999997,non,chkk
Houses without electricity,class 0,0.415351116,all,dengue
Illiteracy,class 0,0.45893676299999997,non,dengue
Population without health services,class 1,0.372506636,non,zika
Mean Min Temp,class 0,0.12020537199999999,non,zika
Houses without electricity,class 1,0.017274359,all,zika
Houses without water pipelines,class 1,0.17879199699999998,non,chkk
Houses with floor of dirt,class 1,0.20184254699999998,all,zika
Mean Temp,class 1,0.7357151129999999,non,dengue
Mean Max Temp,class 0,0.18954632600000001,all,zika
Houses with floor of dirt,class 0,0.18598240800000002,non,dengue
Mean Min Temp,class 1,0.45273485700000005,all,chkk
Mean Max Temp,class 0,0.554496352,all,chkk
Mean Max Temp,class 1,0.430560537,all,dengue
Mean Temp,class 0,0.283666415,all,zika
Mean mm/day,class 1,0.405447099,non,dengue
Houses without water pipelines,class 0,0.234989773,non,dengue
Mean Min Temp,class 1,0.021782613,non,chkk
Mean mm/day,class 0,0.29061939600000003,all,dengue
Population without health services,class 0,0.8315831859999999,all,zika
Mean Min Temp,class 1,0.449871029,non,dengue
Mean Temp,class 0,0.12474750800000001,all,chkk
Min mm/day,class 0,0.001,all,chkk
Altitude,class 0,0.040811956,all,zika
Illiteracy,class 0,0.525917255,non,dengue
Houses without sewage,class 0,0.477699141,non,dengue
Min mm/day,class 0,0.012513711,all,zika
Population without health services,class 0,1.198036973,all,chkk
Houses without toilet,class 1,0.20913625800000002,all,chkk
Houses without electricity,class 0,0.554998035,non,zika
Houses without toilet,class 0,0.43922962200000004,all,dengue
Mean mm/day,class 1,0.30975109,all,dengue
Mean Min Temp,class 1,0.458873679,all,chkk
Houses without water pipelines,class 0,0.632835912,all,zika
Houses without electricity,class 1,0.020255315,non,chkk
Mean Min Temp,class 0,0.49765785100000004,all,chkk
Houses without water pipelines,class 0,0.164743251,non,chkk
Mean mm/day,class 1,0.418217161,non,chkk
Mean Temp,class 1,0.170071385,all,chkk
Houses with floor of dirt,class 1,0.196454358,non,zika
Max mm/day,class 1,0.294722514,all,chkk
Mean Temp,class 0,0.117719453,all,dengue
Mean mm/day,class 0,0.28631254899999997,all,zika
Houses with floor of dirt,class 1,0.227937678,non,dengue
Houses without sewage,class 1,0.483316239,non,dengue
Mean mm/day,class 0,0.283799647,all,dengue
Houses without sewage,class 0,0.190732939,non,chkk
Houses without water pipelines,class 0,0.28,non,dengue
Mean mm/day,class 1,0.413890219,non,chkk
Houses with floor of dirt,class 0,0.18,all,zika
Houses without sewage,class 1,0.508728969,non,dengue
Illiteracy,class 1,0.683320585,all,dengue
Min mm/day,class 0,0.01012274,non,chkk
Mean mm/day,class 1,0.393601275,non,chkk
Houses without sewage,class 1,0.518700795,non,dengue
Houses with floor of dirt,class 1,0.17663548699999998,all,zika
Max mm/day,class 1,0.020187784,non,chkk
Houses without sewage,class 0,0.320270769,all,zika
Illiteracy,class 0,0.68260592,non,zika
Population without health services,class 0,0.40426473,non,chkk
Altitude,class 0,0.091333854,all,chkk
Houses without sewage,class 0,0.300740692,all,zika
Min mm/day,class 1,0.0019219620000000001,non,dengue
Mean mm/day,class 0,0.38873195,non,chkk
Houses with floor of dirt,class 1,0.597079537,all,dengue
Max mm/day,class 0,0.304873075,all,chkk
Min mm/day,class 1,0.001,all,chkk
Mean mm/day,class 1,0.20608949399999998,all,chkk
Altitude,class 0,0.010182911,non,chkk
Population without health services,class 1,0.910693173,all,zika
Houses without toilet,class 1,0.478985259,all,dengue
Mean mm/day,class 0,0.34837434,non,chkk
Altitude,class 0,0.001,all,zika
Houses without sewage,class 1,0.519288887,non,dengue
Houses without toilet,class 1,0.19913145699999998,all,chkk
Houses with floor of dirt,class 0,0.509590811,non,chkk
Mean Max Temp,class 0,0.216324719,all,zika
Mean mm/day,class 1,0.210424174,all,chkk
Mean Max Temp,class 1,0.295092011,non,dengue
Mean Min Temp,class 0,0.516016308,non,dengue
Houses without electricity,class 1,0.28075259199999997,non,dengue
Population without health services,class 1,0.782026824,non,dengue
Houses with floor of dirt,class 0,0.23247353,non,zika
Illiteracy,class 1,0.7049371529999999,all,dengue
Houses without water pipelines,class 1,0.43723919899999997,all,dengue
Mean mm/day,class 1,0.36895825200000004,non,dengue
Houses without toilet,class 0,0.466077746,all,dengue
Houses without electricity,class 0,0.5397030070000001,non,zika
Mean mm/day,class 1,0.40787723,non,dengue
Houses with floor of dirt,class 1,0.559753521,non,chkk
Min mm/day,class 0,0.032598655,all,zika
Houses with floor of dirt,class 1,0.619803655,all,chkk
Illiteracy,class 1,0.517728387,non,dengue
Houses without sewage,class 1,0.203484539,non,chkk
Mean Min Temp,class 1,0.033901522,non,chkk
Houses without electricity,class 1,0.089056421,all,zika
Max mm/day,class 1,0.287081866,all,chkk
Max mm/day,class 1,0.309916342,all,dengue
Houses without toilet,class 1,0.8767021890000001,non,chkk
Population without health services,class 1,0.3806744,non,zika
Min mm/day,class 0,0.026342062000000003,non,zika
Mean Min Temp,class 0,0.21245333600000002,all,zika
Max mm/day,class 0,0.29281544600000003,all,dengue
Illiteracy,class 0,0.8,all,chkk
Houses without electricity,class 0,0.541418975,non,zika
Illiteracy,class 1,0.724592296,non,zika
Houses without water pipelines,class 1,0.36640978,all,chkk
Max mm/day,class 0,0.287106879,all,chkk
Mean Max Temp,class 0,0.9777968840000001,non,chkk
Mean mm/day,class 1,0.239796355,all,chkk
Houses without water pipelines,class 1,0.21000529,non,chkk
Mean Max Temp,class 1,0.337261828,non,dengue
Mean Temp,class 1,0.00165376,non,chkk
Houses without sewage,class 1,0.42455540700000005,all,chkk
Houses without sewage,class 0,0.467675471,all,chkk
Houses without water pipelines,class 0,0.28891610100000004,non,dengue
Min mm/day,class 1,0.030779926000000003,all,chkk
Houses without electricity,class 1,0.303466387,non,dengue
Houses with floor of dirt,class 1,0.559490777,non,chkk
Houses without electricity,class 1,0.6014281429999999,non,zika
Mean Min Temp,class 1,0.47314085200000006,non,dengue
Houses without water pipelines,class 1,0.397924806,all,dengue
Min mm/day,class 1,0.003467997,non,dengue
Mean mm/day,class 1,0.393534548,non,zika
Houses without toilet,class 0,1.1613125979999999,non,zika
Houses with floor of dirt,class 1,0.601850423,all,dengue
Max mm/day,class 1,0.284435013,all,chkk
Mean mm/day,class 1,0.309766905,all,dengue
Houses with floor of dirt,class 1,0.251790928,non,dengue
Mean Temp,class 1,0.141615027,all,chkk
Houses without sewage,class 0,0.289009666,all,zika
Houses with floor of dirt,class 0,0.215958221,non,zika
Mean Max Temp,class 1,0.669818942,all,chkk
Illiteracy,class 0,0.811889437,all,chkk
Houses without water pipelines,class 0,0.257699565,non,dengue
Houses without electricity,class 0,0.43678489600000003,all,dengue
Max mm/day,class 0,0.053794725999999994,non,chkk
Population without health services,class 0,0.7276325659999999,non,dengue
Houses without sewage,class 0,0.462855907,all,chkk
Altitude,class 0,0.10610823400000001,all,chkk
Mean Min Temp,class 0,0.226295734,all,zika
Illiteracy,class 0,0.465587521,non,dengue
Houses without sewage,class 0,0.309793347,all,zika
Houses without electricity,class 1,0.092606509,all,zika
Min mm/day,class 0,0.026295331,non,zika
Altitude,class 1,0.032094248,non,zika
Mean Min Temp,class 0,0.507048741,all,chkk
Max mm/day,class 1,0.012844073999999999,non,chkk
Mean Max Temp,class 1,0.184454975,non,zika
Houses with floor of dirt,class 0,0.4819358,all,chkk
Mean Max Temp,class 0,0.9635483020000001,non,chkk
Population without health services,class 1,0.299213136,all,dengue
Illiteracy,class 1,0.81608783,all,zika
Houses without electricity,class 0,0.071840784,all,zika
Min mm/day,class 0,0.001,non,dengue
Altitude,class 0,0.002816527,non,dengue
Houses without toilet,class 0,1.1245273740000001,non,zika
Illiteracy,class 1,0.666327219,all,dengue
Mean Min Temp,class 1,0.026537401000000002,non,chkk
Mean Temp,class 1,0.038757114,non,zika
Houses without electricity,class 0,0.04026687,non,chkk
Population without health services,class 1,0.325305565,all,dengue
Mean Max Temp,class 1,0.18479332899999998,all,zika
Illiteracy,class 0,0.814498568,all,chkk
Houses with floor of dirt,class 1,0.508100773,non,chkk
Houses without toilet,class 1,0.422881811,all,dengue
Mean Temp,class 1,0.11,all,dengue
Mean Max Temp,class 1,0.187219512,all,zika
Min mm/day,class 0,0.023321786,non,dengue
Houses without sewage,class 0,0.033138886,non,zika
Mean Max Temp,class 0,0.438709195,all,dengue
Houses without sewage,class 1,0.51243186,non,dengue
Illiteracy,class 0,0.725809277,non,zika
Altitude,class 1,0.074163251,all,chkk
Illiteracy,class 1,0.186044417,non,chkk
Houses without toilet,class 1,0.42616580299999995,non,dengue
Houses with floor of dirt,class 0,0.20757616199999998,all,zika
Mean Min Temp,class 0,0.48303900000000005,non,dengue
Houses without water pipelines,class 1,0.35636106,all,dengue
Population without health services,class 1,0.865843494,all,zika
Min mm/day,class 1,0.019572078,non,zika
Max mm/day,class 0,0.285491929,all,chkk
Illiteracy,class 1,0.159448554,non,chkk
Mean Max Temp,class 1,0.603946539,all,chkk
Mean Min Temp,class 1,0.442086734,all,chkk
Houses without electricity,class 1,0.477269351,all,chkk
Illiteracy,class 0,0.48639314200000006,non,dengue
Houses without water pipelines,class 1,0.521501775,all,zika
Mean Max Temp,class 1,0.656231498,all,chkk
Max mm/day,class 0,0.219426536,all,zika
Population without health services,class 1,0.777288627,non,dengue
Houses without water pipelines,class 0,0.3,all,chkk
Houses with floor of dirt,class 0,0.19176902399999998,non,dengue
Houses without electricity,class 0,0.08851997699999999,all,zika
Altitude,class 1,0.001,non,dengue
Houses without electricity,class 0,0.11789130800000001,all,zika
Mean Min Temp,class 1,0.018990191,non,chkk
Altitude,class 0,0.056958682999999996,all,zika
Illiteracy,class 0,0.732309234,all,dengue
Houses with floor of dirt,class 0,0.494195558,non,chkk
Mean mm/day,class 0,0.37,non,chkk
Altitude,class 0,0.005138559,all,zika
Mean mm/day,class 0,0.36553718700000004,non,chkk
Max mm/day,class 0,0.38,non,dengue
Houses without toilet,class 1,1.199483734,non,zika
Altitude,class 1,0.03133909,non,dengue
Altitude,class 1,0.025982217999999998,non,chkk
Houses without electricity,class 1,0.3,non,dengue
Houses without water pipelines,class 0,0.113523747,non,chkk
Illiteracy,class 1,0.49568696,non,dengue
Houses with floor of dirt,class 0,0.21778701600000003,non,zika
Illiteracy,class 1,0.495408055,non,dengue
Houses without sewage,class 1,0.023934107000000003,non,zika
Mean Max Temp,class 1,0.9772391340000001,non,chkk
Min mm/day,class 0,0.10022339300000001,all,zika
Mean Max Temp,class 0,0.275171365,non,dengue
Mean Min Temp,class 1,0.49072133,non,dengue
Houses without toilet,class 0,0.39717301299999996,all,chkk
Houses without electricity,class 0,0.58435317,non,zika
Min mm/day,class 0,0.001,all,chkk
Houses without electricity,class 0,0.0034525999999999997,non,chkk
Min mm/day,class 1,0.023011652,all,chkk
Mean Max Temp,class 0,0.280850324,non,dengue
Illiteracy,class 0,0.299237109,non,chkk
Houses with floor of dirt,class 1,0.558104279,non,chkk
Mean mm/day,class 1,0.4,non,zika
Mean Temp,class 1,0.29468579300000003,all,zika
Houses with floor of dirt,class 0,0.218010593,non,dengue
Population without health services,class 0,0.366755785,all,dengue
Max mm/day,class 1,0.322317963,all,dengue
Mean Temp,class 1,0.01667013,non,zika
Houses without toilet,class 0,0.447002154,all,zika
Population without health services,class 1,0.7469999620000001,non,dengue
Mean Temp,class 0,0.635732582,non,dengue
Houses with floor of dirt,class 0,0.48085436600000003,non,chkk
Max mm/day,class 1,0.144901019,all,zika
Houses without water pipelines,class 0,0.582210868,all,zika
Min mm/day,class 1,0.024168843,non,chkk
Min mm/day,class 0,0.001,all,dengue
Mean Temp,class 0,0.116670805,all,chkk
Houses without water pipelines,class 1,0.476949002,non,zika
Max mm/day,class 1,0.291405335,all,chkk
Houses without electricity,class 1,0.35851113700000004,all,dengue
Houses without sewage,class 0,0.138205419,non,chkk
Houses with floor of dirt,class 1,0.19469633100000003,all,zika
Houses without toilet,class 1,0.434859284,non,dengue
Mean mm/day,class 1,0.22139313600000002,all,chkk
Houses without toilet,class 0,0.781654955,non,chkk
Min mm/day,class 1,0.008909716,all,chkk
Altitude,class 0,0.021058115,all,zika
Mean Max Temp,class 0,0.476293085,all,dengue
Houses without water pipelines,class 1,0.38863558299999995,all,dengue
Houses without sewage,class 1,0.432970095,all,chkk
Houses without toilet,class 0,0.794370206,non,chkk
Houses with floor of dirt,class 0,0.497565001,all,chkk
Max mm/day,class 1,0.301691873,all,chkk
Mean Temp,class 1,0.325389553,all,zika
Mean Min Temp,class 0,0.482777271,all,chkk
Mean mm/day,class 0,0.28673265,all,dengue
Illiteracy,class 1,0.21277544,non,chkk
Houses without water pipelines,class 1,0.291338723,non,dengue
Illiteracy,class 0,0.7551410009999999,all,chkk
Houses without water pipelines,class 0,0.138044595,non,chkk
Mean Min Temp,class 1,0.459649971,non,dengue
Population without health services,class 0,1.237194711,all,chkk
Houses without water pipelines,class 0,0.281464142,all,chkk
Max mm/day,class 0,0.277266311,all,chkk
Houses without sewage,class 1,0.537277866,all,dengue
Min mm/day,class 0,0.014139355,non,dengue
Houses with floor of dirt,class 1,0.185105338,all,zika
Population without health services,class 0,1.20325589,all,chkk
Houses without electricity,class 0,0.25343724,non,dengue
Mean Temp,class 1,0.1690428,all,chkk
Houses without electricity,class 0,0.577925389,all,chkk
Mean Max Temp,class 0,0.603212661,all,chkk
Population without health services,class 0,0.825398359,all,zika
Min mm/day,class 1,0.025707239,non,zika
Mean Min Temp,class 0,0.454854928,all,dengue
Mean Temp,class 1,0.095847584,all,dengue
Houses without toilet,class 1,0.211098337,all,chkk
Illiteracy,class 0,0.48,non,dengue
Mean mm/day,class 0,0.15254969,all,chkk
Mean mm/day,class 0,0.40940462299999997,non,dengue
Illiteracy,class 0,0.7116786140000001,non,zika
Houses with floor of dirt,class 0,0.620215917,all,dengue
Population without health services,class 1,0.920983697,all,zika
